segment_id,entity,metric_id,metric_name,period,value,unit,value_type,is_proxy,source_name,source_url_or_file,source_type,source_date,last_updated,confidence,note
power_cooling,Global data centers,global_dc_electricity_consumption,Global data center electricity consumption,2024,415,TWh,reported_estimate,false,IEA Energy and AI,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,public_report,2025,2026-06-04,High,IEA estimates 2024 data center electricity consumption at around 415 TWh.
power_cooling,Global data centers,global_dc_electricity_share,Global data center share of electricity consumption,2024,1.5,% of global electricity,reported_estimate,false,IEA Energy and AI,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,public_report,2025,2026-06-04,High,IEA estimates the 2024 share at about 1.5 percent of global electricity consumption.
power_cooling,Global data centers,global_dc_electricity_consumption_base_case,Global data center electricity consumption base case,2030E,945,TWh,forecast,false,IEA Energy and AI,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,public_report,2025,2026-06-04,High,IEA Base Case projects global data center electricity consumption around 945 TWh by 2030.
power_cooling,Global data centers,global_dc_electricity_cagr,Global data center electricity CAGR,2024-2030E,15,% per year,derived_by_source,false,IEA Energy and AI,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,public_report,2025,2026-06-04,High,IEA states data center electricity demand grows around 15 percent per year in the Base Case.
power_cooling,Accelerated servers,accelerated_server_electricity_growth,Accelerated server electricity growth,2024-2030E,30,% per year,derived_by_source,true,IEA Energy and AI,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,public_report,2025,2026-06-04,High,IEA projects accelerated server electricity consumption to grow by around 30 percent annually in the Base Case.
memory,Memory chips,memory_chip_price_increase,Memory chip price increase,Latest,6,x,reported_estimate,true,Reuters / Morgan Stanley via Investing.com,https://www.investing.com/news/stock-market-news/ai-chipflation-spreading-from-data-centers-wider-economy-morgan-stanley-warns-4724276,news_wire,2026-06-03,2026-06-04,Medium,Reuters reported Morgan Stanley warning that memory chip prices had spiked six-fold over the past year.
memory,DRAM,dram_contract_price_change,DRAM contract price change,1Q26,83,% QoQ,reported_estimate,true,Reuters / user source packet,https://www.reuters.com/business/retail-consumer/ai-chipflation-spreading-data-centers-wider-economy-morgan-stanley-warns-2026-06-03/,news_wire,2026-06-03,2026-06-04,Medium,User-provided source packet attributes this 1Q26 DRAM price indicator to Reuters-related reporting; keep Medium confidence until original table is archived.
memory,NAND,nand_price_change_selected_products,NAND selected product price change,1Q26,160,% QoQ,reported_estimate,true,Reuters / user source packet,https://www.reuters.com/business/retail-consumer/ai-chipflation-spreading-data-centers-wider-economy-morgan-stanley-warns-2026-06-03/,news_wire,2026-06-03,2026-06-04,Medium,User-provided source packet attributes this selected NAND price indicator to Reuters-related reporting; keep Medium confidence until original table is archived.
hbm,HBM market,hbm_tam,HBM TAM,2025,35,USD bn,company_forecast,false,Micron Technology FQ1 2026 prepared remarks,https://investors.micron.com/static-files/088991c5-a249-4f66-a0a6-258d9b66f3f9,company_ir,2025-12-17,2026-06-04,High,Micron forecast HBM TAM from approximately USD 35bn in 2025.
hbm,HBM market,hbm_tam,HBM TAM,2028E,100,USD bn,company_forecast,false,Micron Technology FQ1 2026 prepared remarks,https://investors.micron.com/static-files/088991c5-a249-4f66-a0a6-258d9b66f3f9,company_ir,2025-12-17,2026-06-04,High,Micron forecast HBM TAM around USD 100bn in 2028.
hbm,HBM market,hbm_tam_cagr,HBM TAM CAGR,2025-2028E,40,% per year,company_forecast,false,Micron Technology FQ1 2026 prepared remarks,https://investors.micron.com/static-files/088991c5-a249-4f66-a0a6-258d9b66f3f9,company_ir,2025-12-17,2026-06-04,High,Micron forecast roughly 40 percent CAGR for HBM TAM through calendar 2028.
ai_accelerator,NVIDIA,nvidia_total_revenue,NVIDIA total revenue,Q1 FY2027,81.615,USD bn,reported_actual,false,NVIDIA Q1 FY2027 results,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2027/default.aspx,company_ir,2026-05-20,2026-06-04,High,NVIDIA reported Q1 FY2027 revenue of USD 81.615bn.
ai_accelerator,NVIDIA,nvidia_total_revenue_growth,NVIDIA total revenue growth,Q1 FY2027,85,% YoY,reported_actual,false,NVIDIA Q1 FY2027 results,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2027/default.aspx,company_ir,2026-05-20,2026-06-04,High,NVIDIA reported total revenue up 85 percent year over year.
ai_accelerator,NVIDIA,nvidia_data_center_revenue,NVIDIA data center revenue,Q1 FY2027,75.2,USD bn,reported_actual,false,NVIDIA Q1 FY2027 results,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2027/default.aspx,company_ir,2026-05-20,2026-06-04,High,NVIDIA reported record Data Center revenue of USD 75.2bn.
ai_accelerator,NVIDIA,nvidia_data_center_revenue_growth,NVIDIA data center revenue growth,Q1 FY2027,92,% YoY,reported_actual,false,NVIDIA Q1 FY2027 results,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2027/default.aspx,company_ir,2026-05-20,2026-06-04,High,NVIDIA reported Data Center revenue up 92 percent year over year.
networking_asic,Broadcom,broadcom_total_revenue,Broadcom total revenue,FY2025,63.887,USD bn,reported_actual,false,Broadcom FY2025 results,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-fourth-quarter-and-fiscal-year-2025,company_ir,2025-12-11,2026-06-04,High,Broadcom reported FY2025 total net revenue of USD 63.887bn.
networking_asic,Broadcom,broadcom_semiconductor_solutions_revenue,Broadcom Semiconductor Solutions revenue,FY2025,36.858,USD bn,reported_actual,false,Broadcom FY2025 results,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-fourth-quarter-and-fiscal-year-2025,company_ir,2025-12-11,2026-06-04,High,Broadcom reported FY2025 Semiconductor Solutions revenue of USD 36.858bn.
networking_asic,Broadcom,broadcom_ai_semiconductor_revenue_growth,Broadcom AI semiconductor revenue growth,Q4 FY2025,74,% YoY,reported_actual,true,Broadcom FY2025 results,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-fourth-quarter-and-fiscal-year-2025,company_ir,2025-12-11,2026-06-04,High,Broadcom CEO commentary attributed Q4 revenue growth primarily to AI semiconductor revenue increasing 74 percent year over year.
networking_asic,Marvell,marvell_total_revenue,Marvell total revenue,FY2026,8.195,USD bn,reported_actual,false,Marvell FY2026 results,https://investor.marvell.com/news-events/press-releases/detail/1011/marvell-technology-inc-reports-fourth-quarter-and-fiscal-year-2026-financial-results,company_ir,2026-03-04,2026-06-04,High,Marvell delivered record FY2026 revenue of USD 8.195bn.
networking_asic,Marvell,marvell_revenue_growth,Marvell revenue growth,FY2026,42,% YoY,reported_actual,false,Marvell FY2026 results,https://investor.marvell.com/news-events/press-releases/detail/1011/marvell-technology-inc-reports-fourth-quarter-and-fiscal-year-2026-financial-results,company_ir,2026-03-04,2026-06-04,High,Marvell stated FY2026 revenue grew 42 percent year over year driven by robust AI demand.
networking_asic,Marvell,marvell_gross_margin,Marvell gross margin,FY2026,51,% GAAP,reported_actual,false,Marvell FY2026 results,https://investor.marvell.com/news-events/press-releases/detail/1011/marvell-technology-inc-reports-fourth-quarter-and-fiscal-year-2026-financial-results,company_ir,2026-03-04,2026-06-04,High,Marvell FY2026 GAAP gross margin was 51.0 percent in the company materials.
networking_asic,Marvell,marvell_operating_margin,Marvell operating margin,FY2026,16.1,% GAAP,reported_actual,false,Marvell FY2026 results,https://investor.marvell.com/news-events/press-releases/detail/1011/marvell-technology-inc-reports-fourth-quarter-and-fiscal-year-2026-financial-results,company_ir,2026-03-04,2026-06-04,High,Marvell FY2026 GAAP operating margin was 16.1 percent in the company materials.
cowos,Advanced packaging,cowos_shortage_signal,CoWoS shortage signal,2026,,,,false,TrendForce advanced packaging article,https://www.trendforce.com/presscenter/news/20260430-13028.html,industry_research,2026-04-30,2026-06-04,High,TrendForce states AI demand is tightening 3nm-2nm wafers and 2.5D/3D advanced packaging and that CoWoS shortage has persisted since 2023.
foundry,TSMC,tsmc_total_revenue,TSMC total revenue,FY2025,3809.05,TWD bn,reported_actual,false,TSMC 2025 Annual Report,https://investor.tsmc.com/static/annualReports/2025/english/index.html,company_ir,2026-02-28,2026-06-04,High,TSMC reported FY2025 consolidated revenue of NT$3,809.05bn.
foundry,TSMC,tsmc_usd_revenue,TSMC revenue in USD,FY2025,122.42,USD bn,reported_actual,false,TSMC 2025 Annual Report,https://investor.tsmc.com/static/annualReports/2025/english/index.html,company_ir,2026-02-28,2026-06-04,High,TSMC reported FY2025 consolidated revenue of USD 122.42bn in US dollar terms.
foundry,TSMC,tsmc_gross_margin,TSMC gross margin,FY2025,59.9,%,reported_actual,false,TSMC 2025 Annual Report,https://investor.tsmc.com/static/annualReports/2025/english/index.html,company_ir,2026-02-28,2026-06-04,High,TSMC reported FY2025 gross profit margin of 59.9 percent.
foundry,TSMC,tsmc_operating_margin,TSMC operating margin,FY2025,50.8,%,reported_actual,false,TSMC 2025 Annual Report,https://investor.tsmc.com/static/annualReports/2025/english/index.html,company_ir,2026-02-28,2026-06-04,High,TSMC reported FY2025 operating profit margin of 50.8 percent.
foundry,TSMC,tsmc_3nm_total_wafer_revenue_share,TSMC 3nm share of total wafer revenue,FY2025,24,%,reported_actual,false,TSMC 2025 Annual Report,https://investor.tsmc.com/static/annualReports/2025/english/index.html,company_ir,2026-02-28,2026-06-04,High,TSMC stated 3-nanometer technologies represented 24 percent of total wafer revenue in 2025.
foundry,TSMC,tsmc_advanced_technology_revenue_share,TSMC advanced technology share of total wafer revenue,FY2025,74,%,reported_actual,false,TSMC 2025 Annual Report,https://investor.tsmc.com/static/annualReports/2025/english/index.html,company_ir,2026-02-28,2026-06-04,High,TSMC stated 7nm and beyond accounted for 74 percent of total wafer revenue in 2025.
foundry,TSMC,tsmc_wafer_shipments,TSMC wafer shipments,FY2025,15,mn 12-inch equivalent wafers,reported_actual,false,TSMC 2025 Annual Report,https://investor.tsmc.com/static/annualReports/2025/english/index.html,company_ir,2026-02-28,2026-06-04,High,TSMC reported 15.0 million 12-inch equivalent wafer shipments in 2025.
foundry,TSMC,tsmc_annual_capacity,TSMC annual managed capacity,FY2025,17,mn 12-inch equivalent wafers greater_than,reported_actual,false,TSMC 2025 Annual Report,https://investor.tsmc.com/static/annualReports/2025/english/index.html,company_ir,2026-02-28,2026-06-04,High,TSMC stated annual capacity of facilities managed by TSMC and subsidiaries exceeded 17 million 12-inch equivalent wafers in 2025.
optical_cpo,LightCounting,lightcounting_forecast_product_count,Optical forecast product coverage,2026-2031,200,product_count greater_than,reported_scope,false,LightCounting April 2026 forecast,https://www.lightcounting.com/newsletter/en/april-2026-market-forecast-379,industry_research,2026-04,2026-06-04,Medium,LightCounting states the forecast database includes historical data and forecasts for shipments pricing and sales of more than 200 products.
optical_cpo,LightCounting,optical_ai_cluster_forecast_scope,AI Cluster optical forecast scope,2026-2031,,,,false,LightCounting April 2026 forecast,https://www.lightcounting.com/newsletter/en/april-2026-market-forecast-379,industry_research,2026-04,2026-06-04,Medium,LightCounting states the report covers optical transceivers and related products used in AI Cluster applications.
server_odm_oem,Dell Technologies,dell_ai_optimized_servers_revenue,AI-optimized servers revenue,Q1 FY2027,16.132,USD bn,reported_actual,false,Dell Q1 FY2027 results,https://investors.delltechnologies.com/static-files/ef369f17-2b83-4fd4-9a37-6b6ab53ac9c5,company_ir,2026-05-28,2026-06-04,High,Dell reported Q1 FY2027 AI-optimized servers revenue of USD 16.132bn.
server_odm_oem,Dell Technologies,dell_ai_optimized_servers_revenue_growth,AI-optimized servers revenue growth,Q1 FY2027,757,% YoY,reported_actual,false,Dell Q1 FY2027 results,https://investors.delltechnologies.com/static-files/ef369f17-2b83-4fd4-9a37-6b6ab53ac9c5,company_ir,2026-05-28,2026-06-04,High,Dell reported AI-optimized servers revenue up 757 percent year over year.
server_odm_oem,Dell Technologies,dell_traditional_servers_networking_revenue,Traditional servers and networking revenue,Q1 FY2027,8.543,USD bn,reported_actual,false,Dell Q1 FY2027 results,https://investors.delltechnologies.com/static-files/ef369f17-2b83-4fd4-9a37-6b6ab53ac9c5,company_ir,2026-05-28,2026-06-04,High,Dell reported traditional servers and networking revenue of USD 8.543bn.
server_odm_oem,Dell Technologies,dell_isg_revenue,Infrastructure Solutions Group revenue,Q1 FY2027,29.009,USD bn,reported_actual,false,Dell Q1 FY2027 results,https://investors.delltechnologies.com/static-files/ef369f17-2b83-4fd4-9a37-6b6ab53ac9c5,company_ir,2026-05-28,2026-06-04,High,Dell reported ISG revenue of USD 29.009bn.
server_odm_oem,Dell Technologies,dell_isg_operating_income,Infrastructure Solutions Group operating income,Q1 FY2027,3.055,USD bn,reported_actual,false,Dell Q1 FY2027 results,https://investors.delltechnologies.com/static-files/ef369f17-2b83-4fd4-9a37-6b6ab53ac9c5,company_ir,2026-05-28,2026-06-04,High,Dell reported ISG operating income of USD 3.055bn.
server_odm_oem,Dell Technologies,dell_isg_operating_margin,Infrastructure Solutions Group operating margin,Q1 FY2027,10.5,%,reported_actual,false,Dell Q1 FY2027 results,https://investors.delltechnologies.com/static-files/ef369f17-2b83-4fd4-9a37-6b6ab53ac9c5,company_ir,2026-05-28,2026-06-04,High,Dell reported ISG operating income at 10.5 percent of ISG net revenue.
